crawl_date,data_type,total_records,own_avg_price,comp_avg_price,n_properties,n_competitors,n_channels
2026-04-15,hotel,1226,245920.0,300714,17,71,4
2026-04-16,hotel,2070,244235.0,275904,17,66,1
2026-04-17,hotel,4347,308488.0,273270,9,40,14
2026-04-18,golf,282,220378.0,162164,3,6,3
2026-04-18,hotel,10142,,313002,23,68,15
2026-04-19,hotel,10140,295837.0,313390,23,68,15
2026-04-20,golf,282,220450.0,162318,3,6,3
2026-04-20,hotel,10778,281232.0,332488,23,68,15
2026-04-21,golf,282,220823.0,162158,3,6,3
2026-04-21,hotel,10983,283049.0,335079,23,68,15
2026-04-22,golf,282,222087.0,163237,3,6,3
2026-04-22,hotel,12575,290269.0,339875,23,68,15
2026-04-23,hotel,13667,295060.0,348759,23,68,15
2026-04-24,golf,282,222027.0,163497,3,6,3
2026-04-24,hotel,15077,300950.0,351792,23,68,15
2026-04-25,hotel,14708,303617.0,354092,23,68,15
2026-04-26,golf,282,221976.0,163089,3,6,3
2026-04-26,hotel,15080,306480.0,355679,23,68,15
2026-04-27,golf,282,220509.0,161514,3,6,3
2026-04-27,hotel,15296,306979.0,360419,23,68,15
2026-04-28,golf,282,220866.0,161797,3,6,3
2026-04-28,hotel,24101,274809.0,326506,23,68,15
